ROW_NUM,YM,CTRD_NM,CTRD_CODE,LVSTCKSPC_NM,LVSTCKSPC_CODE,THSMON,THSMON_ACMTL
13729,202603,충남,6440000,소,LBI1000080,8541,29476
13742,202603,전남,6460000,염소,LBI1000623,3494,5675
13727,202603,충남,6440000,돼지,LBI1000006,326169,883827
13712,202603,경기,6410000,말,LBI1000007,16,68
13726,202603,충북,6430000,염소,LBI1000623,2865,4908
13700,202603,대구,6270000,닭,LBI1000088,1214600,3403778
13701,202603,인천,6280000,돼지,LBI1000006,32930,90790
13702,202603,인천,6280000,소,LBI1000080,1696,4763
13703,202603,인천,6280000,닭,LBI1000088,823837,2378062
13704,202603,광주,6290000,돼지,LBI1000006,43733,117470
13705,202603,광주,6290000,소,LBI1000080,1317,4228
13706,202603,대전,6300000,돼지,LBI1000006,18153,48677
13708,202603,울산,6310000,돼지,LBI1000006,8564,23936
13709,202603,울산,6310000,소,LBI1000080,542,1881
13710,202603,울산,6310000,염소,LBI1000623,85,169
13711,202603,경기,6410000,돼지,LBI1000006,244711,659619
13707,202603,대전,6300000,소,LBI1000080,393,1502
13713,202603,경기,6410000,메추리,LBI1000021,27950,46373
13719,202603,강원,6420000,면양,LBI1000086,4,6
13725,202603,충북,6430000,닭,LBI1000088,6640595,18997944
13714,202603,경기,6410000,당나귀,LBI1000023,2,4
13723,202603,충북,6430000,오리,LBI1000016,445538,1205611
13722,202603,충북,6430000,돼지,LBI1000006,224204,618723
13721,202603,강원,6420000,염소,LBI1000623,581,1302
13720,202603,강원,6420000,닭,LBI1000088,1291755,4168726
13724,202603,충북,6430000,소,LBI1000080,15570,47067
13718,202603,강원,6420000,소,LBI1000080,1846,7657
13717,202603,강원,6420000,돼지,LBI1000006,43587,116334
13716,202603,경기,6410000,닭,LBI1000088,11383316,32337404
13715,202603,경기,6410000,소,LBI1000080,17568,59876
13596,202602,강원,6420000,염소,LBI1000623,443,721
13590,202602,경기,6410000,소,LBI1000080,14725,42308
13592,202602,강원,6420000,돼지,LBI1000006,36434,72747
13593,202602,강원,6420000,소,LBI1000080,1654,5811
13594,202602,강원,6420000,면양,LBI1000086,2,2
13595,202602,강원,6420000,닭,LBI1000088,1279101,2876971
13598,202602,충북,6430000,오리,LBI1000016,351363,760073
13597,202602,충북,6430000,돼지,LBI1000006,185799,394519
13588,202602,경기,6410000,말,LBI1000007,25,52
13599,202602,충북,6430000,사슴,LBI1000017,1,1
13600,202602,충북,6430000,소,LBI1000080,11764,31497
13601,202602,충북,6430000,닭,LBI1000088,5697764,12357349
13602,202602,충북,6430000,염소,LBI1000623,2043,2043
13589,202602,경기,6410000,메추리,LBI1000021,18423,18423
13574,202602,대구,6270000,돼지,LBI1000006,24153,50090
13587,202602,경기,6410000,돼지,LBI1000006,197630,414908
13586,202602,울산,6310000,염소,LBI1000623,84,84
13585,202602,울산,6310000,소,LBI1000080,715,1339
13584,202602,울산,6310000,돼지,LBI1000006,6504,15372
13583,202602,대전,6300000,소,LBI1000080,405,1109
13582,202602,대전,6300000,돼지,LBI1000006,14196,30524
13581,202602,광주,6290000,소,LBI1000080,1190,2911
13580,202602,광주,6290000,돼지,LBI1000006,32541,73737
13579,202602,인천,6280000,닭,LBI1000088,670720,1554225
13578,202602,인천,6280000,소,LBI1000080,1176,3067
13577,202602,인천,6280000,돼지,LBI1000006,26803,57860
13576,202602,대구,6270000,닭,LBI1000088,1074960,2189178
13575,202602,대구,6270000,소,LBI1000080,1096,2778
13604,202602,충남,6440000,말,LBI1000007,6,18
13603,202602,충남,6440000,돼지,LBI1000006,264720,557658
13591,202602,경기,6410000,닭,LBI1000088,9804157,20954088
13605,202602,충남,6440000,소,LBI1000080,7267,20935
13620,202602,경북,6470000,돼지,LBI1000006,114884,231710
13693,202602,제주,6500000,말,LBI1000007,49,113
13694,202602,제주,6500000,소,LBI1000080,363,993
13695,202602,제주,6500000,면양,LBI1000086,5,10
13696,202602,제주,6500000,닭,LBI1000088,439680,916458
13629,202602,제주,6500000,돼지,LBI1000006,74535,149227
13628,202602,경남,6480000,염소,LBI1000623,810,810
13627,202602,경남,6480000,닭,LBI1000088,364626,665214
13626,202602,경남,6480000,소,LBI1000080,9578,29284
13625,202602,경남,6480000,오리,LBI1000016,127058,207960
13624,202602,경남,6480000,돼지,LBI1000006,146922,334713
13623,202602,경북,6470000,염소,LBI1000623,572,572
13622,202602,경북,6470000,닭,LBI1000088,5440541,11633567
13621,202602,경북,6470000,소,LBI1000080,6961,21782
13606,202602,충남,6440000,닭,LBI1000088,10925501,23347218
13619,202602,전남,6460000,염소,LBI1000623,2181,2181
13612,202602,전북,6450000,닭,LBI1000088,30487289,66694768
13618,202602,전남,6460000,닭,LBI1000088,2914172,6450060
13607,202602,충남,6440000,염소,LBI1000623,1210,1210
13608,202602,전북,6450000,돼지,LBI1000006,179181,372610
13609,202602,전북,6450000,오리,LBI1000016,300449,825748
13611,202602,전북,6450000,소,LBI1000080,1314,3537
13610,202602,전북,6450000,타조,LBI1000024,6,6
13613,202602,전북,6450000,염소,LBI1000623,222,222
13614,202602,전남,6460000,돼지,LBI1000006,126074,266666
13615,202602,전남,6460000,오리,LBI1000016,1743596,4001340
13616,202602,전남,6460000,소,LBI1000080,6608,17562
13617,202602,전남,6460000,산양,LBI1000087,112,3044
13697,202602,제주,6500000,염소,LBI1000623,63,63
13535,202601,강원,6420000,닭,LBI1000088,1597870,1597870
13530,202601,경기,6410000,소,LBI1000080,27583,27583
13531,202601,경기,6410000,닭,LBI1000088,11149931,11149931
